borne,viteza,nume,fir,r_start,r_end,linie
"30+200
30+400",30,"Ciocăneşti -
Ghergani",1,30.2,30.4,101
"35+400
36+900",30,"St. Ghergani
zonă aparate de cale Cap X și Cap Y și 
linia 3 directă",1,35.4,36.9,101
"48+850
53+000",NA,"Titu -
Fusea",1,48.85,53,101
"89+100
89+150",30,"Leordeni - 
Călineşti",1,89.1,89.15,101
"94+390
94+440",30,"Călineşti -
Goleşti",1,94.39,94.44,101
"99+500
99+550",10,"St. Goleşti
linia 3 directă",1,99.5,99.55,101
"188+700
188+800",30,"St. Slatina
linia 2 directă",1,188.7,188.8,101
"205+450
206+545",30,"St. Piatra Olt
linia 3 directă
(din călcâiul schimbătorului numărul 23 până la călcâiul schimbătorului numărul 14)",1,205.45,206.545,101
"206+050
206+100",10,"St. Piatra Olt
peste sch. 50",1,206.05,206.1,101
"217+725
218+050",70,"St. Balş
linia 2 directă Cap X",1,217.725,218.05,101
"219+775
219+935",30,"Balş -
Robăneşti",1,219.775,219.935,101
"221+910
221+960",30,"Balş -
Robăneşti",1,221.91,221.96,101
"226+550
226+600",50,"Balş -
Robăneşti",1,226.55,226.6,101
"249+150
250+300",30,"St. Craiova
linia 3A+3B",1,249.15,250.3,101
"14+150
15+200",50,"Șantier mobil.
Protecție muncitori.",2,14.15,15.2,101
"42+000
54+500",70,,2,42,54.5,101
"66+000
68+000",70,,2,66,68,101
"89+100
89+150",30,"Afectează intrări - ieşiri peste TN km 89+125.
Semnalizată ca limitare de viteză.",2,89.1,89.15,101
"94+390
94+440",30,"Semnalizată ca limitare de viteză.
Trecere la nivel km.94+413.",2,94.39,94.44,101
"99+450
99+550",10,"Nesemnalizată pe teren.
Restricție cuprinsă între călcâi sch. 17 și semnal ieșire Y4.
Afectează intrări la linia 4 din direcțiile Pitești, Ștefănești, Călinești, 
 firele I și II.
Afectează ieşiri de la 
linia 4 în direcția Călinești, firele I și II.",2,99.45,99.55,101
"15+090
15+140",30,"Gilort - 
Tulburea",1,15.09,15.14,116
"17+830
17+880",30,"Gilort -
Tulburea",1,17.83,17.88,116
"18+190
18+240",30,"Gilort -
Tulburea",1,18.19,18.24,116
"20+645
20+695",30,"Tulburea-
Bibești",1,20.645,20.695,116
