borne,viteza,nume,fir,r_start,r_end,linie
"138+550
138+610",30,Fără inductori.,2,138.55,138.61,100
"143+300
143+700",30,Fără inductori.,2,143.3,143.7,100
"147+100
148+450",70,"Afectează intrări - ieşiri peste sch. 1, 9, 11, 4, 6 și 10.
Fără inductori.",2,147.1,148.45,100
"153+800
155+050",70, Fără inductori.,2,153.8,155.05,100
"177+550
177+600",30,"Fără inductori.
Afectează intrări - ieşiri peste sch. 2.",2,177.55,177.6,100
"199+050
199+150",70,"Semnalizată ca limitare de viteză.
Fără inductori.
Afectează intrări - ieşiri peste sch. 4 și 6.",2,199.05,199.15,100
"200+200
200+400",30,Fără inductori.,2,200.2,200.4,100
"261+400
261+500",70,"Fără inductori. 
Afectează intrări - ieşiri peste sch. 5 și 7.
Semnalizată ca limitare de viteză.",2,261.4,261.5,100
"271+500
271+700",50,Fără inductori.,2,271.5,271.7,100
"286+180
286+400",50,"Fără inductori.
Afectează intrări - ieşiri peste sch. 18, 14 și 4.",2,286.18,286.4,100
"287+640
287+690",30,"*Valabil pentru trenurile care au în componență  două locomotive cuplate.
Nesemnalizată pe teren.",2,287.64,287.69,100
"294+700
294+750",30,Fără inductori.,2,294.7,294.75,100
"298+280
299+480",30,Fără inductori.,2,298.28,299.48,100
"303+850
304+100",30,Fără inductori.,2,303.85,304.1,100
"299+480
310+500",70,"Semnalizată ca limitare de viteză.
Din linia 3 directă Strehaia se continuă linia simplă Strehaia - Ciochiuța.",2,299.48,310.5,100
"309+100
309+250",30,"Afectează intrări - ieşiri peste sch. 3, 7 și 9.
Fără inductori.",2,309.1,309.25,100
"310+250
310+300",30,"Fără inductori.
Afectează intrări - ieşiri peste sch. 24.",2,310.25,310.3,100
"354+400
354+700",30,Fără inductori.,2,354.4,354.7,100
"356+850
356+950",50,Fără inductori.,2,356.85,356.95,100
"15+090
15+140",30,"Gilort - 
Tulburea",1,15.09,15.14,116
"17+830
17+880",30,"Gilort -
Tulburea",1,17.83,17.88,116
"18+190
18+240",30,"Gilort -
Tulburea",1,18.19,18.24,116
"20+645
20+695",30,"Tulburea-
Bibești",1,20.645,20.695,116
"21+600
21+710",30,"Tulburea-
Bibești",1,21.6,21.71,116
"25+470
25+520",30,"Tulburea-
Bibesti",1,25.47,25.52,116
"28+740
28+790",30,"Bibeşti -
Musculeşti",1,28.74,28.79,116
"40+850
40+900",30,"St. Jupâneşti
linia 1 directă, Cap X",1,40.85,40.9,116
"45+660
45+740",30,"Jupâneşti -
Cărbuneşti",1,45.66,45.74,116
"51+565
51+615",30,"Pojogeni -
Copăcioasa",1,51.565,51.615,116
"53+270
53+320",30,"Pojogeni -
Copăcioasa",1,53.27,53.32,116
"55+800
55+850",30,"Pojogeni -
Copăcioasa",1,55.8,55.85,116
"69+570
69+620",15,"St. Târgu Jiu
peste TDJ  5 / 7",1,69.57,69.62,116
"74+200
74+300",15,"St. Ec. Teodoroiu
linia 2 directă",1,74.2,74.3,116
"74+300
75+130",50,,1,74.3,75.13,116
"77+685
77+735",30,"Ec. Teodoroiu -
Parângu",1,77.685,77.735,116
"85+660
85+710",30,"St. Bumbești
linia 1 directă",1,85.66,85.71,116
"92+700
92+850",30,"Valea Sadului - 
Meri",1,92.7,92.85,116
"96+250
96+320",30,"Meri -
Lainici",1,96.25,96.32,116
"98+600
99+100",30,"Meri -
Lainici",1,98.6,99.1,116
"100+420
100+480",30,"Meri -
Lainici",1,100.42,100.48,116
"103+930
104+831",30,"Lainici –
Pietrele Albe",1,103.93,104.831,116
"107+500
108+200",30,"St. Pietrele Albe
linia 3 directă",1,107.5,108.2,116
"84+710
83+300",30,"Livezeni
linia 2 directă",1,84.71,83.3,116
"65+450
61+300",30,"Bănița -
Merișor 
și Merișor 
linia 3 directă ",1,65.45,61.3,116
"57+185
56+050",30,"St. Crivadia
liniile 1 și 2 directe",1,57.185,56.05,116
"44+600
44+100",30,"St. Pui
linia 3 directă, Cap X",1,44.6,44.1,116
"36+300
34+800",30,"Băiești -
Subcetate",1,36.3,34.8,116
"30+050
29+500",30,"St. Subcetate
linia 4 directă Cap X",1,30.05,29.5,116
"23+250
21+920",30,St. Bretea Streiului linia 2 directă,1,23.25,21.92,116
"11+650
10+800",60,"Călan -
Călan Băi
și st. Călan Băi
liniile 2 și 3 directe
Cap X",1,11.65,10.8,116
"3+720
3+610",70,"St. Simeria Triaj
Grupa D, linia 1D
Cap X, peste sch. 57A",1,3.72,3.61,116
"3+200
2+100",30,"St. Simeria Triaj
Grupa D, 
linia 5D directă, cuprinsă între 
T.D.J. 64 / 72 şi 
T.D.J. 139 / 141",1,3.2,2.1,116
"77+830
77+535",30,,2,77.83,77.535,116
"64+500
60+800",30,Fără inductori.,2,64.5,60.8,116
"57+185
56+050",30,Fără inductori.,2,57.185,56.05,116
"51+050
55+000",30,Fără inductori.,2,51.05,55,116
"23+250
21+920",30,,2,23.25,21.92,116
"11+650
10+800",60,"Semnalizată ca limitare de viteză.
Cuprinde zona aparatelor de cale din Cap X.",2,11.65,10.8,116
"84+710
85+320",30,"Livezeni -
Iscroni",1,84.71,85.32,117
"97+300
97+800",30,"St. Lupeni Tehnic
linia 3 directă, Cap Y",1,97.3,97.8,117
"0+025
0+100",15,"Petroşani Călători -
Petrila",1,0.025,0.1,118
"4+700
4+900",30,"Caransebeş -
Cornuţel Banat",1,4.7,4.9,120
"11+300
13+000",30,"Cornuţel Banat -
Brebu",1,11.3,13,120
"19+450
19+850",30,"Cornuţel Banat -
Brebu",1,19.45,19.85,120
"21+800
22+250",30,"St. Brebu
linia 1 directă și
Brebu -
Reşiţa Nord",1,21.8,22.25,120
"24+850
24+950",30,"Brebu -
Reşiţa Nord",1,24.85,24.95,120
"28+000
38+615",50,"Brebu -
Reşiţa Nord",1,28,38.615,120
"89+500
110+000",50,"Lugoj -
Buziaș",1,89.5,110,123
"2+000
11+500",50,"Voiteni -
Gătaia",1,2,11.5,124
"15+825
15+875",30,"Voiteni -
Gătaia",1,15.825,15.875,124
"23+600
24+600",50,"Gătaia -
Berzovia",1,23.6,24.6,124
"29+800
32+400",50,"Gătaia -
Berzovia",1,29.8,32.4,124
"35+500
37+300",50,"Berzovia -
Vasiova",1,35.5,37.3,124
"51+900
52+000",10,"Vasiova -
Reşiţa Nord",1,51.9,52,124
"53+300
55+000",30,"Vasiova -
Reşiţa Nord",1,53.3,55,124
"57+200
57+500",10,"Vasiova -
Reşiţa Nord",1,57.2,57.5,124
"64+000
64+540",30,"Reşiţa Nord -
Reşiţa Sud",1,64,64.54,124
"11+000
54+000",30,"Berzovia -
Oraviţa",1,11,54,130
"33+150
33+610",5,"Anina
linia 3 directă,
porțiunea cuprinsă între vârf sch. 15 
și vârf sch. 12",1,33.15,33.61,131
"5+600
12+100",30,"Timisoara Vest -
Cruceni",1,5.6,12.1,132
"40+500
46+800",30,"Timisoara Vest -
Cruceni",1,40.5,46.8,132
"9+925
9+975",30,"Ronaţ Triaj Grupa D -
Dudeştii Noi",1,9.925,9.975,133
"13+500
27+700",30,"Dudeştii Noi -
Biled",1,13.5,27.7,133
"35+000
44+700",30,"Biled - 
Satu Nou -
Lovrin",1,35,44.7,133
"63+150
68+500",20,"Sânnicolau Mare -
Sânnicolau Nord",1,63.15,68.5,133
"1+685
2+000",30,"F1 Gura Motrului -
Turceni",1,1.685,2,143
"12+900
13+200",30,"St. Turceni
Cap X",1,12.9,13.2,143
"21+500
21+700",30,"Turceni -
Plopşoru",1,21.5,21.7,143
"34+550
34+600",50,"Plopşoru - 
Rovinari",1,34.55,34.6,143
"36+350
36+400",30,"Plopşoru - 
Rovinari",1,36.35,36.4,143
"43+600
44+420",30,"Plopşoru - 
Rovinari",1,43.6,44.42,143
"44+120
44+420",30,"Plopşoru - 
Rovinari",1,44.12,44.42,143
"51+200
51+250",15,"St. Rogojelu
linia 5 directă",1,51.2,51.25,143
"53+300
53+600",30,"Rogojelu -
Cârbeşti",1,53.3,53.6,143
"57+800
57+900",30,"St. Cârbeşti
 linia 2 directă",1,57.8,57.9,143
"69+570
69+620",15,"St. Târgu Jiu
peste TDJ 5 / 7",1,69.57,69.62,143
"14+290
15+030",15,"Afectează intrări - ieşiri 
la schimbătorul numărul 6.
Fără inductori.",2,14.29,15.03,143
"21+500
21+700",30,Fără inductori.,2,21.5,21.7,143
"51+050
51+250",15,"Afectează intrări - ieşiri la sch. nr. 5, 9, TDJ 13 / 17, sch. nr. 21.
Fără inductori. ",2,51.05,51.25,143
"402+520
502+570",100,"Coșlariu - 
Sântimbru",1,402.52,502.57,200
"510+800
517+400",30,"St. Gurasada 
linia 2 directă și
Gurasada -
Zam",1,510.8,517.4,200
"524+300
529+300",30,"Cîmpuri Surduc -
Ilteu",1,524.3,529.3,200
"533+900
536+750",30,"Zam - 
Ilteu,
st. Ilteu linia 2 directă
și Ilteu -
Săvîrșin",1,533.9,536.75,200
"540+850
540+950",30,"Ilteu  -
Săvîrșin ",1,540.85,540.95,200
"544+100
547+800",30,"Ilteu  -
Săvîrșin 
linia 3 directă Săvîrșin și Săvîrșin -
Vărădia",1,544.1,547.8,200
"552+350
552+700",30,"St. Vărădia
linia 3 directă proiectată Cap X",1,552.35,552.7,200
"562+520
563+700",30,"St. Bătuţa 
linia 2 directă",1,562.52,563.7,200
"574+580
574+630",30,"Bârzava Nouă - 
Conop",1,574.58,574.63,200
"582+925
582+975",30,"Conop - 
Milova",1,582.925,582.975,200
"588+400
588+500",30,"Milova - 
Radna",1,588.4,588.5,200
"594+750
594+950",30,"St. Radna 
linia 3 directă Cap X ",1,594.75,594.95,200
"605+600
611+200",120,"St. Ghioroc 
linia 2 directă și 
Ghioroc -
Glogovăț",1,605.6,611.2,200
"625+650
625+700",70,"Glogovăț -
Arad",1,625.65,625.7,200
"437+208
449+508
(km noi)",120,,2,437.208,449.508,200
"449+509
472+424",100,Pozițiile kilometrice reprezintă axele stațiilor.,2,449.509,472.424,200
"459+000
459+100",50,Fără inductori.,2,459,459.1,200
"471+050
471+100",30,"Fără inductori.
Lucrări Coridor IV.
Podeț provizoriu.",2,471.05,471.1,200
"491+580
491+730",30,"Fără inductori.
Lucrări Coridor IV.
Podețe provizorii.",2,491.58,491.73,200
"499+150
500+500",30,"Fără inductori.
Restricție protecție terasament.
Lucrări Coridor IV.",2,499.15,500.5,200
"502+650
505+000",30,"Fără inductori.
Podețe provizorii.
Lucrări Coridor IV.",2,502.65,505,200
"604+918
611+200",120,"Poziții kilometrice noi.
Km nou 611+200 coincide cu kilometrul vechi 614+000.",2,604.918,611.2,200
"625+650
625+700",100,,2,625.65,625.7,200
"3+200
2+100",30,"St. Simeria Triaj
Grupa D, 
linia 5D directă, cuprinsă între 
T.D.J. 64 / 72 şi 
T.D.J. 139 / 141",1,3.2,2.1,202 A
"4+000
4+250",30,"St. Turnişor
linia 3 directă, Cap Y,
peste schimbătoarele numerele 2, 6 şi 10 ",1,4,4.25,210
"33+100
33+300",10,"Săliște Hm. - 
Apoldu de Sus Hm.",1,33.1,33.3,210
"52+758
60+110",70,"Ax st. Miercurea Sibiului -
Cunța",1,52.758,60.11,210
"60+110
60+733",50,"Miercurea Sibiului -
Ax st. Cunța și
linia 2 directă
St. Cunța",1,60.11,60.733,210
"0+000
6+329",50,"Ax st. Simeria - 
Ax st. Bârcea Mică",1,0,6.329,213
"10+650
10+700",30,"St. Giarmata
linia 3 directă Cap X",1,10.65,10.7,217
"19+550
20+700",70,"St. Băile Calacea
linia 3 directă",1,19.55,20.7,218
"25+700
26+950",50,"St. Orțișoara
linia 2 directă",1,25.7,26.95,218
"32+100
33+200",70," St. Vinga
 linia 2 directă ",1,32.1,33.2,218
"35+350
35+550",30,"Vinga -
Șag",1,35.35,35.55,218
"35+550
38+450",70,,1,35.55,38.45,218
"46+130
46+180",30,"St. Valea Viilor
linia 2 directă Cap Y",1,46.13,46.18,218
"32+000
36+800",50,"Zădăreni - 
Periam",1,32,36.8,219
"36+800
38+000",30,,1,36.8,38,219
"21+000
24+000",50,"Sânandrei - 
Periam",1,21,24,222
"41+000
49+000",30,"Periam -
Sânnicolau Mare",1,41,49,222
"65+200
70+000",30,"Sânnicolau Mare -
Valcani",1,65.2,70,222
"17+000
18+700",30,"Arad Vest -
Pecica",1,17,18.7,223
"8+600
8+650",30,"St. Chitila
Cap X, peste sch. 1",1,8.6,8.65,300
"164+200
164+500",30,"St. Dârste
linia 3 directă",1,164.2,164.5,300
"169+400
169+600",15,St. Braşov,1,169.4,169.6,300
"169+864
183+045",50,"Ax st. Brașov -
Ax st. Bod",1,169.864,183.045,300
"179+020
179+120",30,"Stupini -
Bod",1,179.02,179.12,300
"188+190
190+500",30,"Bod –
Feldioara",1,188.19,190.5,300
"194+600
194+650",50,"Feldioara –
Apaţa",1,194.6,194.65,300
"196+300
207+200",50,"Feldioara -
Apaţa",1,196.3,207.2,300
"207+700
208+600",50,"Apața - 
Augustin
și linia 3 directă
st. Apaţa",1,207.7,208.6,300
"208+600
209+100",30,"Apaţa -
Augustin",1,208.6,209.1,300
"209+100
211+500",50,"Apaţa -
Augustin",1,209.1,211.5,300
"213+700
216+100",50,"Apaţa -
Augustin",1,213.7,216.1,300
"216+100
217+300",30,"Apaţa -
Augustin",1,216.1,217.3,300
"217+300
218+700",50,"Apaţa -
Augustin",1,217.3,218.7,300
"243+900
244+000",30,"Racoş -
Rupea",1,243.9,244,300
"244+000
245+200",50,"St. Rupea
linia 4 directă",1,244,245.2,300
"245+000
245+100",50,"Rupea -
Caţa",1,245,245.1,300
"252+700
254+400",50,"St. Cața 
linia 3 directă și 
Caţa -
Beia",1,252.7,254.4,300
"257+500
257+600",50,"Cața -
Beia",1,257.5,257.6,300
"288+300
288+574",70,"St. Vânători
linia 2 directă",1,288.3,288.574,300
"297+500
297+700",50,"Albeşti Tîrnava -
Sighişoara",1,297.5,297.7,300
"297+500
299+177",50,"Albeşti Tîrnava -
Sighişoara
și linia 3 directă 
st. Sighișoara",1,297.5,299.177,300
"308+450
315+650",120,"Daneș -
Dumbrăveni",1,308.45,315.65,300
"324+100
330+350",120,"Dumbrăveni -
Mediaș",1,324.1,330.35,300
"334+594
344+905",120,"Ax st. Mediaș -
Ax st. Copșa Mică",1,334.594,344.905,300
"347+300
352+400",120,"Copşa Mică -
Valea Lungă",1,347.3,352.4,300
"399+623
412+700",80,"Ax st. Teiuş -
Ax st. Aiud",1,399.623,412.7,300
"408+750
408+800",20,"Teiuş -
Aiud",1,408.75,408.8,300
"411+500
413+700",50,"Teiuş -
Aiud
şi linia 4 directă
St. Aiud ",1,411.5,413.7,300
"425+900
427+300",30,"St. Unirea
linia 3 directă",1,425.9,427.3,300
"467+800
469+200",30,"Valea Florilor -
Boju",1,467.8,469.2,300
"616+875
616+925",30,"Vadu Crişului -
Aleşd",1,616.875,616.925,300
"169+400
169+600",15,"Semnalizată ca limitare de viteză.
Fără inductori.
Afectează intrări - ieşiri la liniile 3 - 8 Cap X.",2,169.4,169.6,300
"169+525
169+610",15,"Nesemnalizată pe teren.
Afectează intrări - ieşiri la liniile 1 - 3 Cap X.",2,169.525,169.61,300
"170+350
170+530",15,"Semnalizată ca limitare de viteză.
Fără inductori.
Staţia Braşov  Călători 
este staţie paralelogram 
şi linia 4 directă de la 
ax staţie spre staţia Dârste este pe linia I - 300, 
iar spre staţia Stupini 
este pe linia II - 300.",2,170.35,170.53,300
"183+750
183+900",50,"Semnalizată ca limitare de viteză.  
Fără inductori.",2,183.75,183.9,300
"186+900
189+100",30,"Semnalizată ca limitare de viteză.  
Cu inductori în capătul dinspre Feldioara.",2,186.9,189.1,300
"189+100
190+750",50,"Semnalizată ca limitare de viteză.
Fără inductori.",2,189.1,190.75,300
"190+750
191+300",30,"Semnalizată ca limitare de viteză.
Fără inductori.",2,190.75,191.3,300
"191+300
191+856",70,"Semnalizată ca limitare de viteză.   
Fără inductori.",2,191.3,191.856,300
"192+300
192+500",15,"Semnalizată ca limitare de viteză.   
Fără inductori.",2,192.3,192.5,300
"243+900
244+000",50,"*Valabil pentru trenurile care au în componență două locomotive cuplate.
Pod km 243+941.
Nesemnalizată pe teren.",2,243.9,244,300
"245+000
245+100",50,"*Valabil pentru trenurile care au în componență două locomotive cuplate.
Pod km 245+050.
Nesemnalizată pe teren.",2,245,245.1,300
"262+700
262+900",30,"Fără inductori.
(Protecție muncitori).",2,262.7,262.9,300
"288+300
288+574",70,Semnalizată ca limitare de viteză.,2,288.3,288.574,300
"297+500
297+700",50,"*Valabil pentru trenurile care au în componență două locomotive cuplate.
Pod km 297+609.
Nesemnalizată pe teren.",2,297.5,297.7,300
"297+500
299+177",50,Semnalizată ca limitare de viteză.,2,297.5,299.177,300
"308+450
315+650",120,Semnalizată ca limitare de viteză.,2,308.45,315.65,300
"324+100
330+350",120,Semnalizată ca limitare de viteză.,2,324.1,330.35,300
"334+594
344+905",120,Nesemnalizată pe teren.,2,334.594,344.905,300
"347+300
352+400",120,Semnalizată ca limitare de viteză.,2,347.3,352.4,300
"408+750
408+800",20,"Semnalizată ca limitare de viteză.
Viteza se va spori după trecerea locomotivei (vizibilitate trecere la nivel).",2,408.75,408.8,300
"411+900
413+500",50,,2,411.9,413.5,300
"425+900
427+300",30,Semnalizată ca limitare de viteză.,2,425.9,427.3,300
"456+500
456+700",30,,2,456.5,456.7,300
"490+600
490+650",50,,2,490.6,490.65,300
"0+900
3+500",30,"Semnalizată Cap Chitila cu palete galbene cu diagonală.
Fără inductori.",2,0.9,3.5,301 F
toată linia,10,"Linia Variantă D2 
Post Giulești - 
Rudeni",1,0,0,301 F1
"2+800
2+900",30,"St. Bucureşti Nord -
Chitila",1,2.8,2.9,301 N
"7+600
7+800",30,"St. Hărman 
linia 4 directă ",1,7.6,7.8,316
"120+488
131+315",50,"Ax st. Izvoru Oltului  -
Ax st. Izvoru Mureșului",1,120.488,131.315,316
"121+900
122+200",30,"Izvoru Oltului -
Izvoru Mureşului",1,121.9,122.2,316
"161+700
162+700",30,"St. Ditrău
linia 3 directă",1,161.7,162.7,316
"191+330
191+350",5,"Topliţa -
Stânceni",1,191.33,191.35,316
"241+370
250+241",50,"Aluniş Mureş -
Reghin
și linia 2 directă 
st. Reghin",1,241.37,250.241,316
"254+900
255+000",30,"Reghin -
Dumbrăvioara",1,254.9,255,316
"276+560
276+680",20,"Dumbrăvioara -
Târgu Mureş Nord",1,276.56,276.68,316
"328+900
329+100",30,"Lusuș - 
Gligorești",1,328.9,329.1,316
"3+000
6+150",50,Dinspre Arad semnalizată doar cu paleta galbenă cu diagonale.,2,3,6.15,328
"13+830
13+880",30,"Șiria - 
Târnova Zărand",1,13.83,13.88,330
"16+800
20+200",50,"Șiria - 
Târnova Zărand",1,16.8,20.2,330
"28+100
28+200",30,"Târnova Zărand
liniile 1, 2 și 3 Cap X
peste sch. 1, 3 și 5",1,28.1,28.2,330
"28+700
28+800",30,"Târnova Zărand
liniile 1, 2 și 3 Cap Y
peste sch. 2, 4 și 6",1,28.7,28.8,330
"toată
linia",15,"St. Sebiş
linia 2 directă / abătută",1,NA,NA,330
"toată
linia",15,"St. Gurahonţ
linia 2 abătută şi 
linia 3 directă / abătută",1,NA,NA,330
"123+970
124+020",30,"Hălmagiu - 
Brad",1,123.97,124.02,330
"135+150
135+200",30,"Hălmagiu - 
Brad",1,135.15,135.2,330
"6+700
12+970",30,"Ineu –
Cermei",1,6.7,12.97,331
"689+400
689+500",30,"Diosig - 
Săcuieni  Bihor",1,689.4,689.5,400
"696+550
697+370",30,"Diosig - 
Săcuieni  Bihor",1,696.55,697.37,400
"789+425
789+915",30,"Satu Mare -
Micula",1,789.425,789.915,400
"2+434
2+980",30,"Satu Mare -
Botiz",1,2.434,2.98,401
"11+010
11+060",70,"Bucureşti Băneasa -
Pantelimon",1,11.01,11.06,800
"27+850
27+900",70,"Pasărea -
Brănești",1,27.85,27.9,800
firul III,NA,"150+800
153+500",1,NA,NA,800
firul III,NA,"163+700
166+500",1,NA,NA,800
"22+950
23+000",70,,2,22.95,23,800
"47+700
48+200",100,,2,47.7,48.2,800
"107+800
111+730",140,Semnalizată ca limitare de viteză.,2,107.8,111.73,800
